VALUE,EVT_Fuel,EVT_Name,EVT_LF,SystemGroupID,SystmGrpPhys,SystmGrpName,SAF_SRM,NVCSOrder,NVCSClass,NVCSSubclass,r,g,b,Red,Green,Blue
3071,2071,Sierra Nevada Alpine Dwarf-Shrubland,Shrub,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 213: Alpine Grassland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,255,211,119,1.000000,0.827451,0.466667
3072,2072,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrub,623,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 405: Black Sagebrush,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,204,182,135,0.800000,0.713725,0.529412
3074,2074,Chihuahuan Creosotebush Desert Scrub,Shrub,611,Shrubland,Creosotebush Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,161,134,96,0.631373,0.525490,0.376471
3075,2075,Chihuahuan Mixed Salt Desert Scrub,Shrub,636,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland,156,128,92,0.611765,0.501961,0.360784
3076,2076,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,150,123,89,0.588235,0.482353,0.349020
3077,2077,Chihuahuan Succulent Desert Scrub,Shrub,641,Shrubland,Succulent Desert Scrub,SRM 735: Sideoats Grama-Sumac-Juniper,Shrub-dominated,Shrubland,Evergreen shrubland,145,117,84,0.568627,0.458824,0.329412
3078,2078,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrub,606,Shrubland,Blackbrush Shrubland,SRM 212: Blackbush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,140,112,80,0.549020,0.439216,0.313725
3079,2079,Great Basin Xeric Mixed Sagebrush Shrubland,Shrub,623,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 406: Low Sagebrush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,135,106,76,0.529412,0.415686,0.298039
3080,2080,Inter-Mountain Basins Big Sagebrush Shrubland,Shrub,604,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 403: Wyoming Big Sagebrush,Shrub-dominated,Shrubland,Evergreen shrubland,130,101,72,0.509804,0.396078,0.282353
3081,2081,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrub,636,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland,156,128,92,0.611765,0.501961,0.360784
3082,2082,Mojave Mid-Elevation Mixed Desert Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 212: Blackbush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,140,112,80,0.549020,0.439216,0.313725
3083,2083,North Pacific Avalanche Chute Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,128,97,69,0.501961,0.380392,0.270588
3084,2084,North Pacific Montane Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,128,97,69,0.501961,0.380392,0.270588
3085,2085,Northwestern Great Plains Shrubland,Shrub,604,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 612: Sagebrush-Grass,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,122,93,65,0.478431,0.364706,0.254902
3086,2086,Rocky Mountain Lower Montane-Foothill Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,SRM 421: Chokecherry-Serviceberry-Rose,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,117,87,61,0.458824,0.341176,0.239216
3087,2087,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrub,611,Shrubland,Creosotebush Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,161,134,96,0.631373,0.525490,0.376471
3088,2088,Sonora-Mojave Mixed Salt Desert Scrub,Shrub,636,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland,156,128,92,0.611765,0.501961,0.360784
3090,2090,Sonoran Granite Outcrop Desert Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,161,134,96,0.631373,0.525490,0.376471
3091,2091,Sonoran Mid-Elevation Desert Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,161,134,96,0.631373,0.525490,0.376471
3092,2092,Southern California Coastal Scrub,Shrub,609,Shrubland,Pacific Coastal Scrub,SRM 205: Coastal Sage Shrub,Shrub-dominated,Shrubland,Evergreen shrubland,166,139,107,0.650980,0.545098,0.419608
3093,2093,Southern Colorado Plateau Sand Shrubland,Shrub,637,Shrubland,Sand Shrubland,SRM 605: Sandsage Prairie,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,112,82,57,0.439216,0.321569,0.223529
3094,2094,Western Great Plains Sandhill Steppe,Shrub,637,Shrubland,Sand Shrubland,SRM 605: Sandsage Prairie,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,112,82,57,0.439216,0.321569,0.223529
3095,2095,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrub,624,Shrubland,Mesquite Woodland and Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,150,123,89,0.588235,0.482353,0.349020
3096,2096,California Maritime Chaparral,Shrub,607,Shrubland,Chaparral,SRM 208: Ceanothus Mixed Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,107,77,54,0.419608,0.301961,0.211765
3097,2097,California Mesic Chaparral,Shrub,607,Shrubland,Chaparral,SRM 207: Scrub Oak Mixed Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,59,30,19,0.231373,0.117647,0.074510
3098,2098,California Montane Woodland and Chaparral,Shrub,607,Shrubland,Chaparral,SRM 209: Montane Shrubland,Shrub-dominated,Shrubland,Evergreen shrubland,66,37,24,0.258824,0.145098,0.094118
3099,2099,California Xeric Serpentine Chaparral,Shrub,607,Shrubland,Chaparral,SRM 209: Montane Shrubland,Shrub-dominated,Shrubland,Evergreen shrubland,66,37,24,0.258824,0.145098,0.094118
3100,2100,Chihuahuan Mixed Desert and Thornscrub,Shrub,613,Shrubland,Desert Scrub,SRM 508: Creosotebush-Tarbush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,74,44,29,0.290196,0.172549,0.113725
3101,2101,Madrean Oriental Chaparral,Shrub,607,Shrubland,Chaparral,SRM 735: Sideoats Grama-Sumac-Juniper,Shrub-dominated,Shrubland,Evergreen shrubland,145,117,84,0.568627,0.458824,0.329412
3103,2103,Great Basin Semi-Desert Chaparral,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,89,59,40,0.349020,0.231373,0.156863
3104,2104,Mogollon Chaparral,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,89,59,40,0.349020,0.231373,0.156863
3105,2105,Northern and Central California Dry-Mesic Chaparral,Shrub,607,Shrubland,Chaparral,SRM 206: Chamise Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,99,69,47,0.388235,0.270588,0.184314
3106,2106,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,SRM 421: Chokecherry-Serviceberry-Rose,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,117,87,61,0.458824,0.341176,0.239216
3107,2107,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,245,175,54,0.960784,0.686275,0.211765
3108,2108,Sonora-Mojave Semi-Desert Chaparral,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,89,59,40,0.349020,0.231373,0.156863
3109,2109,Sonoran Paloverde-Mixed Cacti Desert Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 507: Palo Verde-Cactus,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,242,168,48,0.949020,0.658824,0.188235
3110,2110,Southern California Dry-Mesic Chaparral,Shrub,607,Shrubland,Chaparral,SRM 206: Chamise Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,99,69,47,0.388235,0.270588,0.184314
3111,2111,Western Great Plains Mesquite Woodland and Shrubland,Tree,624,Shrubland,Mesquite Woodland and Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,150,123,89,0.588235,0.482353,0.349020
3112,2112,California Central Valley Mixed Oak Savanna,Tree,629,Hardwood,Western Oak Woodland and Savanna,SRM 201: Blue Oak Woodland,Tree-dominated,Sparse tree canopy,Deciduous sparse tree canopy,138,227,212,0.541176,0.890196,0.831373
3113,2113,California Coastal Live Oak Woodland and Savanna,Tree,629,Hardwood,Western Oak Woodland and Savanna,SAF 255: California Coast Live Oak,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,131,222,110,0.513725,0.870588,0.431373
